Date,CO2Flux,CO2,H2O,Temperature, Pressure,WindSpeed,HorizontalWindDirection,RotationToZeroWTheta,RotationToZeroVPhi,SensibleHeatFlux,LatentHeatFlux,FrictionVelocity
0.1276595745,0.09890041,15.271199,395.79083,12.490962,97.78394,1.9847549,99.04266,1.3430474,80.95734,-7.4161577,-0.40453836,0.0817712
0.2978723404,-0.31609046,15.264254,192.58716,10.135917,97.78311,1.5878583,132.96552,0.34942663,47.034485,-0.21208929,-4.684546,0.025186375
0.5319148936,2.0165944,19.755802,-3276.2678,7.3732924,97.70967,1.0495762,80.243866,1.216115,99.75612,6.3426437,-2.999761,0.11419163
0.8510638298,-10.18436,14.353343,518.9706,19.752697,97.09579,4.2484493,172.94492,0.14127432,7.0550838,98.554924,153.22194,0.33563447
0.914893617,-9.323933,14.103551,492.95477,22.028118,96.95399,5.3415537,194.70642,0.52525973,14.70643,21.889036,167.87889,0.33218974
1,-2.0962446,14.184367,495.45816,21.418806,96.8123,3.2718108,160.1908,0.044234697,19.809208,-25.50223,35.948414,0.17639962
0.1489361702,1.9467187,15.290915,440.48767,14.459778,96.8062,3.3007154,165.16486,0.32505772,14.835143,-39.257275,8.254227,0.21127026
0.3404255319,0.3915764,15.245688,443.28857,13.38874,96.78665,3.8592908,169.00839,0.034264047,10.991599,-39.538036,0.711424,0.24194413
0.5744680851,-3.2738836,14.9834175,469.89185,12.594329,96.783195,3.237047,144.13776,0.019782357,35.86224,2.7726731,16.317102,0.22153051
0.1276595745,2.781479,14.891351,559.92285,19.634466,96.383545,4.541542,171.58524,0.059347074,8.41476,-40.62182,16.101486,0.29550993
0.4042553191,2.8662279,15.074941,611.1858,16.969957,96.288155,3.3805528,152.931,0.059347074,27.068995,-24.235214,-4.668675,0.22447602
0.5531914894,1.6988267,15.055528,610.7655,16.729753,96.30537,2.7333362,127.43045,0.41306862,52.56955,-9.055196,3.401657,0.1722091
0.5744680851,0.12651429,14.88689,630.22974,17.376228,96.307625,3.3422394,158.6961,0.05595296,21.3039,-17.89321,0.1086699,0.2762905
0.9361702128,-9.052121,13.732464,669.8398,25.149586,95.78903,7.311834,164.82233,0.19483371,15.17766,-18.430624,176.31085,0.53919274
1,-2.0494125,13.862131,689.56696,24.211561,95.78561,4.9561777,162.3295,0.16432466,17.670498,-45.32346,10.192816,0.33792958
0.085106383,3.8787708,14.504402,622.2468,20.633512,95.883865,3.9090652,149.62894,0.33977363,30.371075,-48.86432,14.681152,0.2999646
0.1489361702,3.2920756,14.673814,630.092,19.195246,95.991684,3.9753942,150.01706,0.22899748,29.982933,-41.755993,6.7328076,0.2996387
0.4042553191,0.9026317,14.758677,606.97766,17.215979,95.72262,2.7912164,132.07825,0.0884694,47.92176,-18.019527,3.8607764,0.17756766
0.4893617021,1.4289839,14.845455,588.9076,16.522415,95.708466,3.2357414,135.0498,0.019782357,44.950207,-25.211975,2.3978574,0.22677067
0.5957446809,-4.375108,14.449754,610.9228,17.844074,95.7155,3.8473947,144.20935,0.36797374,35.790634,-14.636867,28.841427,0.33385348
0.6595744681,-5.926106,14.2434225,628.56067,19.498207,95.7115,6.2854733,171.3107,0.13705622,8.689286,1.6151593,49.522316,0.4383146
0.7872340426,-5.014187,13.640652,750.8879,23.124714,95.52902,5.0851064,157.73706,0.04845668,22.262947,0.28472942,68.90212,0.3894548
0.9787234043,-0.96698755,13.656563,712.7829,22.326813,95.2123,6.003147,149.98502,0.21580017,30.01498,-30.00199,2.0301695,0.49437982
0.1276595745,-0.7345126,14.575801,564.629,17.696396,95.37772,6.2009006,132.79971,0.019782357,47.20027,-39.84873,12.74589,0.48688313
0.1489361702,2.78987,14.826935,605.2549,17.369545,95.34673,4.9751153,136.86691,0.034264047,43.13308,-32.81643,53.713375,0.3623798
0.170212766,-1.4919311,14.810461,654.82837,17.685205,95.36124,6.0340996,142.5557,0.019782357,37.444313,-45.30475,8.797184,0.45867103
0.9787234043,-0.111241296,8.201484,1520.4635,15.9553385,95.2151,2.544052,338.47565,1.24049,158.47563,4.6228123,-48.019356,0.19153175
0.170212766,-0.5232644,32.956608,679.25415,15.131765,95.28246,2.633258,260.14542,1.0141364,80.145424,-0.30342445,0.20053785,0.16775785
0.0212765957,0.011171412,1.4101472,-3276.2678,13.107664,95.569496,5.7260766,10.407684,1.384092,169.5923,2.636288,-1.2428646,0.42704895
0.1276595745,-0.14062811,8.959469,1895.2656,12.134747,95.74371,4.128465,355.10614,1.8127269,175.1061,-4.798905,-5.5168533,0.3867032
0.3617021277,2.082366,14.643893,218.90889,11.074931,95.87314,6.2834496,344.51224,0.93251294,164.51222,-16.91038,16.025282,0.5479356
0.5531914894,0.6575148,15.578819,424.61145,11.516249,96.09645,7.15841,344.7339,1.4283451,164.73387,-26.673151,46.99623,0.6830299
0.6170212766,-0.8289405,15.553146,416.2593,11.655484,96.211464,8.379151,341.13495,0.99995166,161.13495,-17.667154,19.605026,0.6691259
0.9361702128,-3.9201922,15.468778,432.89023,12.387294,96.59565,6.3435807,344.20087,1.6325492,164.20088,-4.019232,56.239616,0.5844339
0.9787234043,-1.9675858,15.508605,429.60876,12.367196,96.68036,5.921736,347.26526,1.4921355,167.26524,-11.988127,49.89499,0.526368
0.085106383,1.1713151,15.6709175,443.22864,12.380289,96.799484,2.6802676,320.87604,1.60657,140.87604,-9.023115,10.194414,0.18615705
0.2340425532,1.2605286,15.902772,419.31393,10.896744,96.99826,2.8685584,330.6294,1.5258535,150.62938,-19.713074,5.5283093,0.21407363
0.2978723404,-0.30053523,16.105783,394.20078,10.109438,96.99996,1.9805564,321.14673,1.3320746,141.14673,-9.806842,-0.7835216,0.10013736
0.3617021277,-0.10251692,16.22907,375.6475,9.654383,97.01119,2.1592329,323.12732,1.2999561,143.1273,-10.401083,0.4829368,0.09730957
0.4893617021,-0.088075325,7.187623,1293.7753,8.593487,97.201904,2.314921,305.19662,1.0959307,125.196625,-10.805503,32.591396,0.08290814
0.9361702128,-8.7934475,14.910261,342.56192,15.519082,97.210075,2.3153956,342.5528,1.8039608,162.5528,27.785437,116.57789,0.17983264
0.2127659574,0.8806978,17.186552,415.28384,11.947735,97.37416,1.6484795,222.34007,0.019782357,42.340065,-14.15907,1.015394,0.09073096
0.2765957447,1.672192,16.856249,411.9869,11.611815,97.38283,2.5388777,233.647,0.16432466,53.64699,-22.03302,16.960947,0.17486487
0.6382978723,-17.524738,14.825119,444.87012,14.52503,97.505974,3.117056,246.40607,0.7319522,66.40607,57.181343,131.42293,0.2770793
0.6595744681,-12.458623,14.710004,451.48602,15.329553,97.51863,4.02493,251.08955,1.0409874,71.089554,46.813984,123.651474,0.31437033
0.170212766,2.3282454,15.568827,524.3503,14.849745,97.28144,4.5532527,208.12178,0.7625892,28.12178,-38.791233,10.578102,0.25487316
0.2553191489,-0.28718424,15.921521,511.1183,13.640143,97.23325,5.225647,215.25493,0.29342008,35.254925,-32.54876,1.8297307,0.28405017
0.4255319149,1.827241,16.754732,455.47763,11.806327,97.20388,2.3201725,233.56248,0.50046,53.562485,-20.996452,-4.1538167,0.11528831
0.4680851064,-0.22364421,16.89807,439.75113,11.219441,97.20508,2.1383753,205.73434,0.3226409,25.734348,-1.9464841,-0.051713407,0.034704614
0.4893617021,-0.34274426,16.874321,427.567,11.077558,97.20512,2.1326687,202.54837,0.38206148,22.548378,-2.8001356,-0.29586178,0.045598555
